"Kod";"Nazwa";"porady ogółem;ogółem;2020;[-]";
0201000;"Powiat bolesławiecki";342442;
0202000;"Powiat dzierżoniowski";505847;
0203000;"Powiat głogowski";345697;
0204000;"Powiat górowski";127332;
0205000;"Powiat jaworski";220350;
0206000;"Powiat karkonoski";147573;
0207000;"Powiat kamiennogórski";155950;
0208000;"Powiat kłodzki";723517;
0209000;"Powiat legnicki";180442;
0210000;"Powiat lubański";220894;
0211000;"Powiat lubiński";442288;
0212000;"Powiat lwówecki";155398;
0213000;"Powiat milicki";111394;
0214000;"Powiat oleśnicki";435549;
0215000;"Powiat oławski";324168;
0216000;"Powiat polkowicki";230077;
0217000;"Powiat strzeliński";180695;
0218000;"Powiat średzki";222928;
0219000;"Powiat świdnicki";646546;
0220000;"Powiat trzebnicki";307575;
0221000;"Powiat wałbrzyski";170147;
0222000;"Powiat wołowski";216645;
0223000;"Powiat wrocławski";557273;
0224000;"Powiat ząbkowicki";208975;
0225000;"Powiat zgorzelecki";316132;
0226000;"Powiat złotoryjski";177087;
0261000;"Powiat m.Jelenia Góra";458287;
0262000;"Powiat m.Legnica";415670;
0264000;"Powiat m.Wrocław";2857426;
0265000;"Powiat m.Wałbrzych od 2013";435375;
0401000;"Powiat aleksandrowski";259183;
0402000;"Powiat brodnicki";391868;
0403000;"Powiat bydgoski";421331;
0404000;"Powiat chełmiński";208820;
0405000;"Powiat golubsko-dobrzyński";213975;
0406000;"Powiat grudziądzki";116657;
0407000;"Powiat inowrocławski";784709;
0408000;"Powiat lipnowski";270310;
0409000;"Powiat mogileński";206602;
0410000;"Powiat nakielski";379291;
0411000;"Powiat radziejowski";186627;
0412000;"Powiat rypiński";164144;
0413000;"Powiat sępoleński";183174;
0414000;"Powiat świecki";367649;
0415000;"Powiat toruński";340484;
0416000;"Powiat tucholski";184522;
0417000;"Powiat wąbrzeski";178137;
0418000;"Powiat włocławski";331145;
0419000;"Powiat żniński";337703;
0461000;"Powiat m.Bydgoszcz";1502239;
0462000;"Powiat m.Grudziądz";385288;
0463000;"Powiat m.Toruń";1010939;
0464000;"Powiat m.Włocławek";562322;
0601000;"Powiat bialski";392122;
0602000;"Powiat biłgorajski";376645;
0603000;"Powiat chełmski";195793;
0604000;"Powiat hrubieszowski";278976;
0605000;"Powiat janowski";230880;
0606000;"Powiat krasnostawski";251273;
0607000;"Powiat kraśnicki";428207;
0608000;"Powiat lubartowski";445939;
0609000;"Powiat lubelski";525750;
0610000;"Powiat łęczyński";298163;
0611000;"Powiat łukowski";383882;
0612000;"Powiat opolski";252589;
0613000;"Powiat parczewski";136522;
0614000;"Powiat puławski";468649;
0615000;"Powiat radzyński";206618;
0616000;"Powiat rycki";308256;
0617000;"Powiat świdnicki";343659;
0618000;"Powiat tomaszowski";331050;
0619000;"Powiat włodawski";175002;
0620000;"Powiat zamojski";318839;
0661000;"Powiat m.Biała Podlaska";308617;
0662000;"Powiat m.Chełm";372657;
0663000;"Powiat m.Lublin";1847319;
0664000;"Powiat m.Zamość";462343;
0801000;"Powiat gorzowski";176550;
0802000;"Powiat krośnieński";201419;
0803000;"Powiat międzyrzecki";209395;
0804000;"Powiat nowosolski";373764;
0805000;"Powiat słubicki";124784;
0806000;"Powiat strzelecko-drezdenecki";216304;
0807000;"Powiat sulęciński";147280;
0808000;"Powiat świebodziński";206723;
0809000;"Powiat zielonogórski";263092;
0810000;"Powiat żagański";298011;
0811000;"Powiat żarski";393627;
0812000;"Powiat wschowski";149569;
0861000;"Powiat m.Gorzów Wielkopolski";526893;
0862000;"Powiat m.Zielona Góra";661980;
1001000;"Powiat bełchatowski";442748;
1002000;"Powiat kutnowski";466457;
1003000;"Powiat łaski";201369;
1004000;"Powiat łęczycki";239343;
1005000;"Powiat łowicki";365967;
1006000;"Powiat łódzki wschodni";333970;
1007000;"Powiat opoczyński";286599;
1008000;"Powiat pabianicki";565227;
1009000;"Powiat pajęczański";196140;
1010000;"Powiat piotrkowski";360974;
1011000;"Powiat poddębicki";207534;
1012000;"Powiat radomszczański";523381;
1013000;"Powiat rawski";191850;
1014000;"Powiat sieradzki";520905;
1015000;"Powiat skierniewicki";88346;
1016000;"Powiat tomaszowski";592066;
1017000;"Powiat wieluński";303192;
1018000;"Powiat wieruszowski";166612;
1019000;"Powiat zduńskowolski";288542;
1020000;"Powiat zgierski";741497;
1021000;"Powiat brzeziński";121321;
1061000;"Powiat m.Łódź";3266144;
1062000;"Powiat m.Piotrków Trybunalski";482232;
1063000;"Powiat m.Skierniewice";253143;
1201000;"Powiat bocheński";435527;
1202000;"Powiat brzeski";288445;
1203000;"Powiat chrzanowski";478289;
1204000;"Powiat dąbrowski";222694;
1205000;"Powiat gorlicki";447701;
1206000;"Powiat krakowski";1067668;
1207000;"Powiat limanowski";454061;
1208000;"Powiat miechowski";184344;
1209000;"Powiat myślenicki";498853;
1210000;"Powiat nowosądecki";718990;
1211000;"Powiat nowotarski";599120;
1212000;"Powiat olkuski";441808;
1213000;"Powiat oświęcimski";631160;
1214000;"Powiat proszowicki";169084;
1215000;"Powiat suski";271072;
1216000;"Powiat tarnowski";665625;
1217000;"Powiat tatrzański";249350;
1218000;"Powiat wadowicki";524473;
1219000;"Powiat wielicki";477962;
1261000;"Powiat m.Kraków";3300286;
1262000;"Powiat m.Nowy Sącz";396632;
1263000;"Powiat m.Tarnów";587775;
1401000;"Powiat białobrzeski";147869;
1402000;"Powiat ciechanowski";362802;
1403000;"Powiat garwoliński";411464;
1404000;"Powiat gostyniński";174121;
1405000;"Powiat grodziski";472064;
1406000;"Powiat grójecki";341287;
1407000;"Powiat kozienicki";203406;
1408000;"Powiat legionowski";556280;
1409000;"Powiat lipski";143379;
1410000;"Powiat łosicki";118745;
1411000;"Powiat makowski";174351;
1412000;"Powiat miński";559139;
1413000;"Powiat mławski";239984;
1414000;"Powiat nowodworski";322166;
1415000;"Powiat ostrołęcki";264189;
1416000;"Powiat ostrowski";265543;
1417000;"Powiat otwocki";514702;
1418000;"Powiat piaseczyński";699955;
1419000;"Powiat płocki";391495;
1420000;"Powiat płoński";344815;
1421000;"Powiat pruszkowski";690869;
1422000;"Powiat przasnyski";226415;
1423000;"Powiat przysuski";137449;
1424000;"Powiat pułtuski";237455;
1425000;"Powiat radomski";411455;
1426000;"Powiat siedlecki";237970;
1427000;"Powiat sierpecki";232886;
1428000;"Powiat sochaczewski";398993;
1429000;"Powiat sokołowski";239678;
1430000;"Powiat szydłowiecki";155003;
1432000;"Powiat warszawski zachodni";459851;
1433000;"Powiat węgrowski";248752;
1434000;"Powiat wołomiński";904067;
1435000;"Powiat wyszkowski";297061;
1436000;"Powiat zwoleński";116673;
1437000;"Powiat żuromiński";128796;
1438000;"Powiat żyrardowski";281253;
1461000;"Powiat m.Ostrołęka";267935;
1462000;"Powiat m.Płock";610016;
1463000;"Powiat m.Radom";935572;
1464000;"Powiat m.Siedlce";443195;
1465000;"Powiat m. st. Warszawa";5698702;
1601000;"Powiat brzeski";380847;
1602000;"Powiat głubczycki";200607;
1603000;"Powiat kędzierzyńsko-kozielski";387993;
1604000;"Powiat kluczborski";219999;
1605000;"Powiat krapkowicki";270498;
1606000;"Powiat namysłowski";148098;
1607000;"Powiat nyski";589984;
1608000;"Powiat oleski";216719;
1609000;"Powiat opolski";364083;
1610000;"Powiat prudnicki";243244;
1611000;"Powiat strzelecki";278180;
1661000;"Powiat m.Opole";515875;
1801000;"Powiat bieszczadzki";75629;
1802000;"Powiat brzozowski";270490;
1803000;"Powiat dębicki";449528;
1804000;"Powiat jarosławski";488719;
1805000;"Powiat jasielski";457683;
1806000;"Powiat kolbuszowski";198468;
1807000;"Powiat krośnieński";457542;
1808000;"Powiat leżajski";233818;
1809000;"Powiat lubaczowski";219507;
1810000;"Powiat łańcucki";275133;
1811000;"Powiat mielecki";480541;
1812000;"Powiat niżański";215567;
1813000;"Powiat przemyski";182575;
1814000;"Powiat przeworski";281831;
1815000;"Powiat ropczycko-sędziszowski";266761;
1816000;"Powiat rzeszowski";569619;
1817000;"Powiat sanocki";367350;
1818000;"Powiat stalowowolski";420563;
1819000;"Powiat strzyżowski";247497;
1820000;"Powiat tarnobrzeski";195929;
1821000;"Powiat leski";101902;
1861000;"Powiat m.Krosno";236845;
1862000;"Powiat m.Przemyśl";319468;
1863000;"Powiat m.Rzeszów";980101;
1864000;"Powiat m.Tarnobrzeg";210547;
2001000;"Powiat augustowski";237317;
2002000;"Powiat białostocki";530172;
2003000;"Powiat bielski";247367;
2004000;"Powiat grajewski";169306;
2005000;"Powiat hajnowski";139050;
2006000;"Powiat kolneński";118878;
2007000;"Powiat łomżyński";76469;
2008000;"Powiat moniecki";126055;
2009000;"Powiat sejneński";76727;
2010000;"Powiat siemiatycki";164375;
2011000;"Powiat sokólski";225321;
2012000;"Powiat suwalski";81792;
2013000;"Powiat wysokomazowiecki";227938;
2014000;"Powiat zambrowski";155054;
2061000;"Powiat m.Białystok";1453049;
2062000;"Powiat m.Łomża";330205;
2063000;"Powiat m.Suwałki";295075;
2201000;"Powiat bytowski";304740;
2202000;"Powiat chojnicki";424159;
2203000;"Powiat człuchowski";207900;
2204000;"Powiat gdański";347424;
2205000;"Powiat kartuski";503227;
2206000;"Powiat kościerski";233861;
2207000;"Powiat kwidzyński";343295;
2208000;"Powiat lęborski";319289;
2209000;"Powiat malborski";278099;
2210000;"Powiat nowodworski";131881;
2211000;"Powiat pucki";313495;
2212000;"Powiat słupski";269193;
2213000;"Powiat starogardzki";474800;
2214000;"Powiat tczewski";547491;
2215000;"Powiat wejherowski";834225;
2216000;"Powiat sztumski";146307;
2261000;"Powiat m.Gdańsk";2053148;
2262000;"Powiat m.Gdynia";1065718;
2263000;"Powiat m.Słupsk";428444;
2264000;"Powiat m.Sopot";157774;
2401000;"Powiat będziński";685033;
2402000;"Powiat bielski";653866;
2403000;"Powiat cieszyński";777392;
2404000;"Powiat częstochowski";514554;
2405000;"Powiat gliwicki";493190;
2406000;"Powiat kłobucki";252857;
2407000;"Powiat lubliniecki";330630;
2408000;"Powiat mikołowski";453515;
2409000;"Powiat myszkowski";277988;
2410000;"Powiat pszczyński";491658;
2411000;"Powiat raciborski";363107;
2412000;"Powiat rybnicki";269245;
2413000;"Powiat tarnogórski";616004;
2414000;"Powiat bieruńsko-lędziński";266875;
2415000;"Powiat wodzisławski";564207;
2416000;"Powiat zawierciański";510700;
2417000;"Powiat żywiecki";625675;
2461000;"Powiat m.Bielsko-Biała";744074;
2462000;"Powiat m.Bytom";643641;
2463000;"Powiat m.Chorzów";471789;
2464000;"Powiat m.Częstochowa";873186;
2465000;"Powiat m.Dąbrowa Górnicza";452326;
2466000;"Powiat m.Gliwice";636555;
2467000;"Powiat m.Jastrzębie-Zdrój";415847;
2468000;"Powiat m.Jaworzno";420974;
2469000;"Powiat m.Katowice";1352950;
2470000;"Powiat m.Mysłowice";337336;
2471000;"Powiat m.Piekary Śląskie";260928;
2472000;"Powiat m.Ruda Śląska";557864;
2473000;"Powiat m.Rybnik";508426;
2474000;"Powiat m.Siemianowice Śląskie";289053;
2475000;"Powiat m.Sosnowiec";884741;
2476000;"Powiat m.Świętochłowice";230803;
2477000;"Powiat m.Tychy";560407;
2478000;"Powiat m.Zabrze";697686;
2479000;"Powiat m.Żory";195547;
2601000;"Powiat buski";253267;
2602000;"Powiat jędrzejowski";352546;
2603000;"Powiat kazimierski";99842;
2604000;"Powiat kielecki";708842;
2605000;"Powiat konecki";322377;
2606000;"Powiat opatowski";205203;
2607000;"Powiat ostrowiecki";496406;
2608000;"Powiat pińczowski";141897;
2609000;"Powiat sandomierski";314889;
2610000;"Powiat skarżyski";326875;
2611000;"Powiat starachowicki";441179;
2612000;"Powiat staszowski";257477;
2613000;"Powiat włoszczowski";194296;
2661000;"Powiat m.Kielce";972770;
2801000;"Powiat bartoszycki";222396;
2802000;"Powiat braniewski";140521;
2803000;"Powiat działdowski";255515;
2804000;"Powiat elbląski";201055;
2805000;"Powiat ełcki";338157;
2806000;"Powiat giżycki";235762;
2807000;"Powiat iławski";380112;
2808000;"Powiat kętrzyński";235790;
2809000;"Powiat lidzbarski";155046;
2810000;"Powiat mrągowski";217116;
2811000;"Powiat nidzicki";145003;
2812000;"Powiat nowomiejski";161332;
2813000;"Powiat olecki";136375;
2814000;"Powiat olsztyński";408455;
2815000;"Powiat ostródzki";373537;
2816000;"Powiat piski";212133;
2817000;"Powiat szczycieński";338483;
2818000;"Powiat gołdapski";104345;
2819000;"Powiat węgorzewski";100167;
2861000;"Powiat m.Elbląg";591555;
2862000;"Powiat m.Olsztyn";809366;
3001000;"Powiat chodzieski";194617;
3002000;"Powiat czarnkowsko-trzcianecki";379484;
3003000;"Powiat gnieźnieński";576074;
3004000;"Powiat gostyński";358688;
3005000;"Powiat grodziski";191076;
3006000;"Powiat jarociński";331687;
3007000;"Powiat kaliski";268708;
3008000;"Powiat kępiński";240295;
3009000;"Powiat kolski";356554;
3010000;"Powiat koniński";462073;
3011000;"Powiat kościański";286115;
3012000;"Powiat krotoszyński";310529;
3013000;"Powiat leszczyński";204434;
3014000;"Powiat międzychodzki";86543;
3015000;"Powiat nowotomyski";365490;
3016000;"Powiat obornicki";251193;
3017000;"Powiat ostrowski";684793;
3018000;"Powiat ostrzeszowski";203772;
3019000;"Powiat pilski";684898;
3020000;"Powiat pleszewski";276077;
3021000;"Powiat poznański";1605524;
3022000;"Powiat rawicki";310835;
3023000;"Powiat słupecki";274984;
3024000;"Powiat szamotulski";322087;
3025000;"Powiat średzki";239283;
3026000;"Powiat śremski";250311;
3027000;"Powiat turecki";408561;
3028000;"Powiat wągrowiecki";280988;
3029000;"Powiat wolsztyński";213308;
3030000;"Powiat wrzesiński";356882;
3031000;"Powiat złotowski";322618;
3061000;"Powiat m.Kalisz";602365;
3062000;"Powiat m.Konin";420977;
3063000;"Powiat m.Leszno";361368;
3064000;"Powiat m.Poznań";2455463;
3201000;"Powiat białogardzki";234374;
3202000;"Powiat choszczeński";169039;
3203000;"Powiat drawski";255136;
3204000;"Powiat goleniowski";342726;
3205000;"Powiat gryficki";190014;
3206000;"Powiat gryfiński";383612;
3207000;"Powiat kamieński";165767;
3208000;"Powiat kołobrzeski";355169;
3209000;"Powiat koszaliński";212731;
3210000;"Powiat myśliborski";235982;
3211000;"Powiat policki";273155;
3212000;"Powiat pyrzycki";147468;
3213000;"Powiat sławieński";192357;
3214000;"Powiat stargardzki";479659;
3215000;"Powiat szczecinecki";422153;
3216000;"Powiat świdwiński";223987;
3217000;"Powiat wałecki";170033;
3218000;"Powiat łobeski";107639;
3261000;"Powiat m.Koszalin";587171;
3262000;"Powiat m.Szczecin";1613617;
3263000;"Powiat m.Świnoujście";181472;
